Split,Model Name,True Value,Predicted Value
1,madlag_bert-large-uncased-wwm-squadv2-x2.63-f82.6-d16-hybrid-v1.csv,0.78,0.3766915773665966
1,mirbostani_bert-base-uncased-finetuned-newsqa.csv,0.89,0.23947054633154985
1,neuralmagic_bert-large-uncased-finetuned-squadv1.csv,0.9,0.5329425617407793
1,mrm8488_bert-mini-finetuned-squadv2.csv,0.9,0.5224199196522297
1,madlag_bert-base-uncased-squadv1-x2.01-f89.2-d30-hybrid-rewind-opt-v1.csv,0.8,0.40878950866413544
1,Adel-Elwan_msmarco-bert-base-dot-v5-fine-tuned-AI.csv,0.81,1.026016589210752
1,deutsche-telekom_bert-multi-english-german-squad2.csv,0.97,0.5125309149433526
1,DracolIA_BERT-Context-based-QA.csv,0.87,0.5816160904690647
1,JAlexis_bert_v2.csv,0.82,0.8763552678143578
1,Sarmila_pubmed-bert-squad-covidqa.csv,0.83,0.7185574660734697
1,VMware_bert-large-mrqa.csv,0.89,0.4761921060104184
1,rubentito_bert-large-mpdocvqa.csv,0.1,0.5837742337279479
1,madlag_bert-base-uncased-squad1.1-block-sparse-0.13-v1.csv,0.81,0.6977026232295743
1,madlag_bert-base-uncased-squad1.1-block-sparse-0.32-v1.csv,0.83,0.7142605735257566
1,VMware_bert-tiny-mrqa.csv,0.75,0.504412736202815
2,philsupertramp_bert-finetuned-squad-test.csv,0.47,0.8924400589308863
2,madlag_bert-large-uncased-wwm-squadv2-x2.63-f82.6-d16-hybrid-v1.csv,0.78,0.3502961039305472
2,Eladio_bert-base-cased-squad2-finetuned-emrqa-msquad.csv,0.84,0.5974982522129365
2,VMware_bert-base-mrqa.csv,0.75,0.5648048854858465
2,mirbostani_bert-base-uncased-finetuned-newsqa.csv,0.89,0.2339655711033564
2,JAlexis_bert003.csv,0.84,0.6648955185571921
2,andi611_bert-large-uncased-whole-word-masking-squad2-with-ner-mit-movie-with-neg-with-repeat.csv,0.85,0.3347877786511754
2,madlag_bert-base-uncased-squadv1-x1.84-f88.7-d36-hybrid-filled-v1.csv,0.37,0.7538865771952948
2,neuralmagic_bert-large-uncased-finetuned-squadv1.csv,0.9,0.5489578631816271
2,madlag_bert-base-uncased-squad1.1-block-sparse-0.13-v1.csv,0.81,0.7383002416603293
2,google-bert_bert-large-cased-whole-word-masking-finetuned-squad.csv,0.89,0.7244602552777761
2,lauraparra28_bert-base-cased-finetuned-squad-bs_16.csv,0.84,0.6198118805289783
2,andi611_bert-large-uncased-whole-word-masking-squad2-with-ner-Pistherea-conll2003-with-neg-with-repeat.csv,0.88,0.5455703598980686
2,madlag_bert-base-uncased-squadv1-x1.96-f88.3-d27-hybrid-filled-opt-v1.csv,0.82,0.4572998103316812
2,madlag_bert-base-uncased-squadv1-x2.44-f87.7-d26-hybrid-filled-v1.csv,0.21,0.773666186254662
3,JAlexis_bert003.csv,0.84,0.7646307467629637
3,deepset_bert-large-uncased-whole-word-masking-squad2.csv,0.9,0.7496278379304844
3,rubentito_bert-large-mpdocvqa.csv,0.1,0.5945266814965261
3,VenkatManda_bert-tiny-squadV2.csv,0.85,0.7608723766188275
3,madlag_bert-base-uncased-squadv1-x1.96-f88.3-d27-hybrid-filled-opt-v1.csv,0.82,0.480634840517039
3,VMware_minilmv2-l6-h384-from-bert-large-mrqa.csv,0.76,0.4461183680013917
3,Sarmila_pubmed-bert-squad-covidqa.csv,0.83,0.7274886270304821
3,DunnBC22_bert-base-uncased-QnA-MLQA_Dataset.csv,0.9,0.9062112508889211
3,DunnBC22_bert-base-uncased-Q_and_A-Answer_Prediction_Dataset.csv,0.78,0.6363268946726677
3,madlag_bert-base-uncased-squadv1-x1.84-f88.7-d36-hybrid-filled-v1.csv,0.37,0.6179719946678612
3,IProject-10_bert-base-uncased-finetuned-squad2.csv,0.88,0.7257718921769662
3,zelcakok_bert-base-squad2-uncased.csv,0.85,0.6301192724530549
3,google-bert_bert-large-uncased-whole-word-masking-finetuned-squad.csv,0.89,1.0867109742042116
3,DunnBC22_bert-base-uncased-Vitamin_C_Fact_Verification.csv,0.78,0.571896252826948
3,deepset_bert-medium-squad2-distilled.csv,0.89,0.6992929227151784
4,JAlexis_bert_v2.csv,0.82,0.9406808672751308
4,deepset_bert-base-uncased-squad2.csv,0.9,0.6298438292823574
4,andi611_bert-large-uncased-whole-word-masking-squad2-with-ner-Pwhatisthe-conll2003-with-neg-with-repeat.csv,0.82,0.7171771277839025
4,madlag_bert-base-uncased-squadv1-x1.96-f88.3-d27-hybrid-filled-opt-v1.csv,0.82,0.496462043814674
4,mrm8488_bert-tiny-finetuned-squadv2.csv,0.44,0.8880466987536457
4,mrm8488_bert-medium-finetuned-squadv2.csv,0.82,0.5198784756540882
4,madlag_bert-base-uncased-squad1.1-block-sparse-0.13-v1.csv,0.81,0.7750767496729329
4,neuralmagic_bert-large-uncased-finetuned-squadv1.csv,0.9,0.43429726267038204
4,mirbostani_bert-base-uncased-finetuned-newsqa.csv,0.89,0.3020620959238933
4,philsupertramp_bert-finetuned-squad-test.csv,0.47,0.8910354545005648
4,VMware_minilmv2-l6-h384-from-bert-large-mrqa.csv,0.76,0.36245362111577906
4,DracolIA_BERT-Context-based-QA.csv,0.87,0.6530605858230575
4,batterydata_bert-base-uncased-squad-v1.csv,0.83,0.7550422815088291
4,96harsh56_bert_test2.csv,0.84,0.8573196420817311
4,phiyodr_bert-large-finetuned-squad2.csv,0.85,0.6522499656051293
5,DunnBC22_bert-base-uncased-e_CARE.csv,0.85,0.23771904325061013
5,96harsh56_bert_test1.csv,0.83,0.8928355718090603
5,philsupertramp_bert-finetuned-squad-test.csv,0.47,0.8864487575055632
5,Intel_bert-base-uncased-squadv1.1-sparse-80-1x4-block-pruneofa.csv,0.88,0.7474119174089342
5,madlag_bert-large-uncased-wwm-squadv2-x2.63-f82.6-d16-hybrid-v1.csv,0.78,0.3570556755054297
5,phiyodr_bert-large-finetuned-squad2.csv,0.85,0.6856823724848731
5,batterydata_bert-base-cased-squad-v1.csv,0.81,0.859025974091097
5,madlag_bert-base-uncased-squadv1-x1.96-f88.3-d27-hybrid-filled-opt-v1.csv,0.82,0.41839912720201716
5,andi611_bert-large-uncased-whole-word-masking-squad2-with-ner-Pistherea-conll2003-with-neg-with-repeat.csv,0.88,0.508981708125972
5,Adel-Elwan_msmarco-bert-base-dot-v5-fine-tuned-AI.csv,0.81,1.0486970769983006
5,deepset_bert-base-cased-squad2.csv,0.89,0.8124831820297563
5,madlag_bert-base-uncased-squad1.1-block-sparse-0.07-v1.csv,0.79,0.7816491794366037
5,madlag_bert-base-uncased-squadv1-x2.44-f87.7-d26-hybrid-filled-v1.csv,0.21,0.6925504256019204
5,z-uo_bert-qasper.csv,0.81,0.8768079663267492
5,DunnBC22_bert-base-uncased-QnA-MLQA_Dataset.csv,0.9,0.9094518142752357
6,VMware_bert-large-mrqa.csv,0.89,0.5226890444325165
6,Sarmila_pubmed-bert-squad-covidqa.csv,0.83,0.7722232349109841
6,96harsh56_bert_test1.csv,0.83,0.8673880790540407
6,deepset_bert-medium-squad2-distilled.csv,0.89,0.637377907833778
6,Intel_bert-large-uncased-squadv1.1-sparse-80-1x4-block-pruneofa.csv,0.02,0.7949339844469588
6,madlag_bert-base-uncased-squad1.1-block-sparse-0.20-v1.csv,0.84,0.8423911546769075
6,Adel-Elwan_msmarco-bert-base-dot-v5-fine-tuned-AI.csv,0.81,1.0625175640235938
6,z-uo_bert-qasper.csv,0.81,0.8452988061786659
6,Eladio_bert-base-cased-squad2-finetuned-emrqa-msquad.csv,0.84,0.6159271314653587
6,madlag_bert-base-uncased-squadv1-x1.16-f88.1-d8-unstruct-v1.csv,0.81,0.32409371646054363
6,DunnBC22_bert-base-uncased-e_CARE.csv,0.85,0.25897057664616535
6,madlag_bert-base-uncased-squadv1-x1.84-f88.7-d36-hybrid-filled-v1.csv,0.37,0.5562776369378445
6,andi611_bert-large-uncased-whole-word-masking-squad2-with-ner-mit-restaurant-with-neg-with-repeat.csv,0.34,0.5010262780257906
6,madlag_bert-large-uncased-wwm-squadv2-x2.63-f82.6-d16-hybrid-v1.csv,0.78,0.3794497922928012
6,JAlexis_Bertv1_fine.csv,0.89,0.6901418534449695
7,google-bert_bert-large-uncased-whole-word-masking-finetuned-squad.csv,0.89,1.0215315111834553
7,Intel_bert-large-uncased-squadv1.1-sparse-80-1x4-block-pruneofa.csv,0.02,0.7874589495557849
7,VMware_bert-large-mrqa.csv,0.89,0.5960600477960349
7,JAlexis_bert_v2.csv,0.82,0.9338026094250016
7,nikotang_bert-large-cuad.csv,0.86,0.3946014518093123
7,madlag_bert-base-uncased-squad1.1-block-sparse-0.20-v1.csv,0.84,0.8260291991123886
7,mrm8488_bert-medium-finetuned-squadv2.csv,0.82,0.5250336890504651
7,lauraparra28_bert-base-cased-finetuned-squad-bs_16.csv,0.84,0.5242902325074141
7,VMware_minilmv2-l6-h384-from-bert-large-mrqa.csv,0.76,0.316969975328202
7,DunnBC22_bert-base-uncased-Figurative_Language.csv,0.27,0.1914379681331615
7,andi611_bert-large-uncased-whole-word-masking-squad2-with-ner-mit-restaurant-with-neg-with-repeat.csv,0.34,0.25918215541184053
7,madlag_bert-base-uncased-squadv1-x2.32-f86.6-d15-hybrid-v1.csv,0.86,0.4890017831324889
7,andi611_bert-large-uncased-whole-word-masking-squad2-with-ner-mit-movie-with-neg-with-repeat.csv,0.85,0.25593693346518065
7,DracolIA_BERT-Context-based-QA.csv,0.87,0.6781849815275314
7,madlag_bert-base-uncased-squadv1-x2.01-f89.2-d30-hybrid-rewind-opt-v1.csv,0.8,0.3587867729882752
8,Intel_bert-large-uncased-squadv1.1-sparse-90-unstructured.csv,0.85,0.6590209388686034
8,google-bert_bert-large-cased-whole-word-masking-finetuned-squad.csv,0.89,0.7966590366248085
8,andi611_bert-large-uncased-whole-word-masking-squad2-with-ner-Pistherea-conll2003-with-neg-with-repeat.csv,0.88,0.48656022220534095
8,mirbostani_bert-base-uncased-finetuned-newsqa.csv,0.89,0.24038266305866648
8,DunnBC22_bert-base-uncased-QnA-MLQA_Dataset.csv,0.9,0.9028967091696827
8,madlag_bert-base-uncased-squad1.1-block-sparse-0.20-v1.csv,0.84,0.7521837942520491
8,VMware_bert-tiny-mrqa.csv,0.75,0.5567639267451541
8,rein5_bert-base-uncased-finetuned-spoken-squad.csv,0.84,0.7369104975811387
8,VMware_minilmv2-l6-h384-from-bert-large-mrqa.csv,0.76,0.4198497944290655
8,nikotang_bert-large-cuad.csv,0.86,0.3307470329927176
8,madlag_bert-base-uncased-squadv1-x2.32-f86.6-d15-hybrid-v1.csv,0.86,0.4652661416928277
8,phiyodr_bert-base-finetuned-squad2.csv,0.87,0.7321700044188023
8,mrm8488_bert-medium-finetuned-squadv2.csv,0.82,0.47119211207856443
